hospital_name,state,total_spending_per_beneficiary,readmission_rate,mortality_rate,patient_experience_score
Hospital 519,VT,18483.93,11.52,3.09,78.83
Hospital 520,AR,13030.55,14.15,1.07,62.8
Hospital 521,KS,11792.87,17.24,4.24,80.63
Hospital 522,MS,11067.09,12.54,4.61,73.84
Hospital 523,KS,15774.31,17.78,3.88,80.39
Hospital 524,AK,16101.26,21.38,1.69,82
Hospital 525,WI,13499.46,15.76,2.24,89.31
Hospital 526,NV,14833.87,18.61,1,79.03
Hospital 527,NY,8806.95,6.71,4.92,88.67
Hospital 528,NE,8128.05,13.28,2.57,74.78
Hospital 529,MD,15115.82,15.74,5.8,75.26
Hospital 530,MS,11682.97,10.79,5.35,77.09
Hospital 531,ID,13873.26,15.83,1.92,85.74
Hospital 532,WY,10206.78,19.24,2.15,84.31
Hospital 533,OH,16142.47,7.48,3.56,79.35
Hospital 534,NC,8148.95,10.24,1,65.72
Hospital 535,NC,8536.04,15.74,2.47,84.13
Hospital 536,TX,15610.78,16.84,2.35,69.39
Hospital 537,OR,7000,17.95,5.22,68.84
Hospital 538,ID,12946.42,15.44,3.19,66.62
Hospital 539,AZ,11731.69,16.85,2.66,77.17
Hospital 540,AL,10160.12,18.61,2.24,90.12
Hospital 541,NC,11500.15,13.34,4.07,68.35
Hospital 542,SC,9881.19,12.57,2.4,94.79
Hospital 543,GA,15855.64,14.33,2.94,87.1
Hospital 544,TX,16511.24,15.8,2.23,63.35
Hospital 545,UT,10285.66,12.37,1.18,74.17
Hospital 546,NH,12688.81,13.42,1.8,67.6
Hospital 547,IL,8687.31,16.59,2.4,84.65
Hospital 548,ID,14682.63,15.63,2.68,68.12
Hospital 549,NM,14617.52,14.26,2.74,61.79
Hospital 550,VA,11261.84,8.04,2.89,74.74
Hospital 551,AK,12042.21,14.99,2.41,89.69
Hospital 552,WY,11765.59,11.12,4.62,76.07
Hospital 553,OH,7953.86,18.93,4.14,81.98
Hospital 554,MN,15865.01,13.77,2.84,82.37
Hospital 555,KY,10082.62,11.02,3.31,62.88
Hospital 556,MT,10099.63,14.75,2.55,69.01
Hospital 557,DE,11623.95,20.08,1,78.06
Hospital 558,NH,14488.87,17.52,3.02,72.43
Hospital 559,MT,10521.74,15.88,3.37,95.04
Hospital 560,GA,7119.54,9.7,1.06,65.72
Hospital 561,MT,9782.5,21.49,3.6,68.91
Hospital 562,ND,13060.35,12.51,2.66,80.91
Hospital 563,SD,17474.38,18.74,3.41,71.72
Hospital 564,CT,8850.2,13.7,2.7,50
Hospital 565,AR,8758.75,18.35,4.5,97.35
Hospital 566,WY,8218.51,20.23,3.27,67.26
Hospital 567,VT,7908.19,17.59,4.2,83.61
Hospital 568,HI,15014.23,18.02,4.3,65.47
Hospital 569,NH,15736.72,14.61,1.66,69.37
Hospital 570,OK,12444.39,13.26,2.11,61.77
Hospital 571,MO,10830.72,15.55,3.54,70.59
Hospital 572,MA,16477.86,13.64,2.56,71.56
Hospital 573,OK,12434.77,24.87,2.71,76.67
Hospital 574,GA,14723.59,11.03,4.54,74.27
Hospital 575,OR,10708.88,19.01,2.63,63.58
Hospital 576,FL,12110.61,17.07,1.84,72.76
Hospital 577,MS,8906.65,15.92,2,92.47
Hospital 578,OH,13573.12,20.92,5.62,91.28
Hospital 579,WI,12477.34,16.19,2.79,82.56
Hospital 580,OH,9763.59,12.46,1.36,84.63
Hospital 581,WV,9797.23,16.17,1,98.61
Hospital 582,OK,16039.9,14.27,2.25,83.71
Hospital 583,LA,16929.17,17.01,2.76,84.44
Hospital 584,WI,11467.16,18.25,4.14,62.35
Hospital 585,RI,12169.38,11.56,4.02,66.87
Hospital 586,NY,13000.29,19.78,2.99,77.67
Hospital 587,MS,12370.08,13.98,2.45,69.93
Hospital 588,MN,7814.26,16.77,3.41,68.02
Hospital 589,NY,13069.68,17.47,1,69.18
Hospital 590,OR,7000,16.47,5.38,63.76
Hospital 591,ID,10168.29,14.56,3.78,70.09
Hospital 592,WI,13263.57,13.05,4.04,81.39
Hospital 593,IL,13499.99,13.92,1.71,95.96
Hospital 594,MN,9974.82,21.26,4.54,85.97
Hospital 595,MO,10853.91,11.54,2.45,84.36
Hospital 596,OH,10515.41,12.12,1.86,61.76
Hospital 597,SD,11742.89,11.95,2.95,79.19
Hospital 598,NJ,11933.01,15.54,2.92,77.33
Hospital 599,KY,13671.17,8.9,1.71,80.91
Hospital 600,WI,10707.76,9.59,1.93,74.39
Hospital 601,MD,12933.49,13.96,1.83,94.62
Hospital 602,WV,13267.54,9.85,1.84,78.53
Hospital 603,MO,12495.72,10.17,2.53,79.5
Hospital 604,MI,11350.99,9.88,1.33,58.38
Hospital 605,IL,12451.61,11.61,2.17,76.93
Hospital 606,ME,13879.35,17.92,4.25,89.49
Hospital 607,WI,14097.96,18.82,3.99,83.56
Hospital 608,OK,16538.43,22.68,1.74,56.44
Hospital 609,ID,9524.93,22.53,4.15,73.5
Hospital 610,SD,10899.98,18.15,1,95.32
Hospital 611,ME,7966.33,19.11,5.91,76.49
Hospital 612,ID,14327.52,15.52,4.56,81.22
Hospital 613,FL,11163.73,17.08,2.33,94.19
Hospital 614,CT,12515.48,22.77,3.46,76.45
Hospital 615,NV,10489.15,16.48,1.32,85.91
Hospital 616,IN,11183.24,19.61,3.07,82.11
Hospital 617,NM,15057.98,11.26,2.78,84.25
Hospital 618,ME,13735.58,12.34,2,81.79
Hospital 619,WA,11721.19,16.25,2.44,72.52
Hospital 620,KS,13919.53,15.6,2.32,73.52
Hospital 621,CA,13974.75,12.52,1.64,69.45
Hospital 622,OH,11021.44,24.63,1.97,61.6
Hospital 623,ID,8327.3,15.69,1.27,90.45
Hospital 624,MO,9752.1,13.23,4.03,78.1
Hospital 625,MA,8648.68,15.61,1.88,89.94
Hospital 626,OK,14911.09,15.1,1.53,93.65
Hospital 627,MN,15345.29,15.75,4.01,78.53
Hospital 628,KS,15965.93,8.63,3.44,64.87
Hospital 629,RI,7000,20.17,3.97,76.04
Hospital 630,VT,14678.5,20.4,4.1,71.29
Hospital 631,TN,17530.48,20.88,5.32,58.2
Hospital 632,RI,14779.97,16.3,2.81,72.98
Hospital 633,IN,7000,17.65,1.25,77.28
Hospital 634,NM,16420.75,11.54,3.33,71.57
Hospital 635,CA,12104.22,18.33,2.2,70.28
Hospital 636,OH,11419,16.01,1.85,65.22
Hospital 637,MN,13127.74,13.16,3.12,79.96
Hospital 638,NH,9377.48,18.46,4.04,96.69
Hospital 639,TX,12006.96,18.61,2,90.79
Hospital 640,HI,16051.07,15.24,4.53,84.54
Hospital 641,LA,13555.99,16.75,1.81,84.75
Hospital 642,WA,12146,10.87,2.71,76.67
Hospital 643,ID,12224.02,19.97,3.46,59.95
Hospital 644,FL,9046.52,11.4,2.53,74.31
Hospital 645,GA,11625.03,12.18,1,68.31
Hospital 646,UT,7914.26,15.25,4.11,79.55
Hospital 647,KY,14556.1,19.46,2.25,90.33
Hospital 648,PA,7000,19.46,3.89,97.73
Hospital 649,CT,14137.25,14.98,1.48,78.65
Hospital 650,VA,14448.53,18.09,1.69,61.33
Hospital 651,IL,15296.91,8.24,4.03,78.63
Hospital 652,SC,12217.15,12.12,3.41,78.9
Hospital 653,TN,14291.57,12.2,2.47,84.79
Hospital 654,FL,11600.63,20.01,3.43,77.81
Hospital 655,WY,9033.26,17.62,1.86,78.67
Hospital 656,NE,15826.83,15.74,3.13,71.68
Hospital 657,AK,11757.79,16.13,3.15,74.88
Hospital 658,CA,8476.22,21.27,2.55,83.13
Hospital 659,NH,10832.96,14.32,2,57.92
Hospital 660,OR,10931.69,9.74,3.08,74.83
Hospital 661,PA,13154.24,19.35,2.93,84.88
Hospital 662,ME,17867.62,15.73,2.44,94.41
Hospital 663,DE,13306.05,18.81,1.76,74.02
Hospital 664,WV,12517.11,14.82,3.01,89.85
Hospital 665,VT,18139.44,11.65,2.44,94.9
Hospital 666,AL,14447.23,16.61,1.76,74.15
Hospital 667,MI,12635.62,15.04,3.05,72.42
Hospital 668,KY,10801.47,15.74,4.93,76.18
Hospital 669,CT,12790.5,21.47,2.56,77.18
Hospital 670,MO,11834.02,10.61,4.8,88.91
Hospital 671,VT,12228.59,16.14,5.54,70.26
Hospital 672,AR,15286.01,11.72,1.86,93.38
Hospital 673,OK,10649.19,5,3.01,69.99
Hospital 674,CO,13283.85,14.8,5.52,65.36
Hospital 675,NM,14372.35,15.12,2.85,83.24
Hospital 676,ME,10344.72,17.49,3.04,90.31
Hospital 677,UT,9943.45,14.13,1,79.79
Hospital 678,RI,11624.15,9.04,2.36,82.35
Hospital 679,NE,10845.93,11.71,3.67,97.54
Hospital 680,GA,14880.83,20.27,5.92,90.45
Hospital 681,MT,9495.58,11.65,2.76,78.31
Hospital 682,ME,12171.18,21.33,1,73.69
Hospital 683,RI,18365.12,19.2,1.31,88.95
Hospital 684,AZ,13032.64,13.73,2.96,86.29
Hospital 685,VT,13448.23,12.08,4.41,82.19
Hospital 686,IL,14901.71,19.19,3.76,74.73
Hospital 687,WY,10842.63,14.04,3.55,77.24
Hospital 688,NV,9296.45,8.82,4.57,76.52
Hospital 689,MD,12441.28,17.25,2.14,74.9
Hospital 690,NV,12663.51,16.67,3.02,71.99
Hospital 691,DE,7954.47,19.55,2.38,80.65
Hospital 692,SD,12937.68,16.4,2.67,71.54
Hospital 693,RI,14674.63,12.8,1.79,79.77
Hospital 694,AL,9717.63,20.08,2.59,57
Hospital 695,AZ,13088.89,20.47,2.97,72
Hospital 696,IL,14230.66,15.93,2.55,88.98
Hospital 697,NV,13466.7,15.24,2.81,69
Hospital 698,WI,13702.52,9.71,3.49,83.92
Hospital 699,MO,11388,12.57,4.49,69.83
Hospital 700,NC,9181.24,18.04,4.57,85.76
Hospital 701,PA,10882.13,12.77,3.91,75.03
Hospital 702,CO,10534.86,9.17,1.49,74.63
Hospital 703,UT,11799.35,25,2.57,78.54
Hospital 704,VT,14733.18,9.15,2.67,64.57
Hospital 705,NY,8720.4,24.03,2.21,87.72
Hospital 706,VT,12360.63,13.77,3.41,91.03
Hospital 707,WA,9341.5,14.66,1.09,74.4
Hospital 708,MA,10149.88,12.31,5.03,83.24
Hospital 709,KS,13396.85,18.13,4.43,85.79
Hospital 710,MA,9025.14,9.24,3.57,77.09
Hospital 711,HI,13835.61,7.64,2.93,66.92
Hospital 712,OR,8619.59,21.44,4.47,93.94
Hospital 713,OK,13667.45,11.78,3.83,74.07
Hospital 714,OH,8126.17,17.98,4.33,71.91
Hospital 715,ME,10455.47,10.66,2.93,94.39
Hospital 716,MD,16741.24,17.83,5.15,84.1
Hospital 717,LA,16271.37,21.73,4.4,80.57
Hospital 718,WA,10968.69,12.89,3.61,68.29
Hospital 719,SD,12974.9,7.27,4.51,86.03
Hospital 720,WI,15010.17,21.76,2.5,100
Hospital 721,IN,13703.24,18.7,1.6,86.81
Hospital 722,IA,11316.34,13.11,3.39,82.96
Hospital 723,NM,10128.41,14.13,2.93,85.21
Hospital 724,AL,14170.26,10.56,2.76,74.72
Hospital 725,AZ,14826.76,20.68,4.46,74.62
Hospital 726,KS,16289.25,12.86,3.2,74.5
Hospital 727,MN,7781.88,9.33,3.32,72.25
Hospital 728,HI,8867.19,15.85,2.61,74.48
Hospital 729,ID,14904.81,11.56,4.06,74.43
Hospital 730,GA,8121.17,10.88,3.84,75.55
Hospital 731,NY,15096.37,13.28,4.05,75.27
Hospital 732,KS,11462.67,15.35,2.4,80.43
Hospital 733,DE,10697.72,9.48,4.56,78.79
Hospital 734,PA,12513.57,20.54,5.21,79.67
Hospital 735,ID,8636.58,17.71,4.01,93.22
Hospital 736,MS,14060.04,13.54,2.03,78.77
Hospital 737,NV,16224.09,11.39,2.04,100
Hospital 738,DE,14176.44,14.64,2.55,81.53
Hospital 739,NV,11383.73,18.6,2.32,73.53
Hospital 740,OK,8154.91,17.98,2.91,91.5
Hospital 741,MT,8251.03,19.23,3.76,77.2
Hospital 742,DE,8675.89,13.08,3.35,54.06
Hospital 743,WY,11969.3,5,3.24,77.96
Hospital 744,NV,12283.5,19.99,2.71,75.51
Hospital 745,NV,14171.11,14.33,2.91,94.07
Hospital 746,OR,7509.93,17.66,3.96,69.02
Hospital 747,SD,15278.03,21.68,1,74.67
Hospital 748,OK,13736.02,24.74,2.99,90.68
Hospital 749,NE,11182.91,12.4,3.35,81.94
Hospital 750,KY,9025.6,15.54,3.94,76.29
Hospital 751,FL,15122.85,20.47,1.79,70.44
Hospital 752,NC,11249.77,11.62,1.72,81.52
Hospital 753,MD,11949.95,12.67,3.7,77.71
Hospital 754,IL,12959.03,12.65,1,70.32
Hospital 755,NV,9717,14.89,4.6,70.84
Hospital 756,WV,11294.55,14.12,3.27,69.86
Hospital 757,NH,14163.29,12.62,4.87,68.07
Hospital 758,IL,13910.24,11.14,1.7,87.34
Hospital 759,VA,13932.77,18.25,2.48,85.99
Hospital 760,OH,9112.05,20.35,1,87.36
Hospital 761,CO,11408.55,20.93,2.05,78.04
Hospital 762,LA,11009.02,13.08,2.78,75.57
Hospital 763,CA,13062.95,18.41,1,75.76
Hospital 764,WA,12839.14,15.95,2.53,88.21
Hospital 765,MO,12388.57,12.72,1,59.8
Hospital 766,AK,18164.33,17.94,2.69,72.86
Hospital 767,GA,11272.98,12.53,4.38,69.13
Hospital 768,NJ,10980.44,13.5,2.96,91.6
Hospital 769,WY,9108.13,9.49,4.99,73.23
Hospital 770,VT,8155.38,13.14,3.94,61.64
Hospital 771,CA,8949.21,16.02,4.62,80.23
Hospital 772,NC,10203.3,21.28,2.08,74.3
Hospital 773,AL,15275.18,13.59,2.05,72.43
Hospital 774,LA,12097.91,10.85,3.41,71.4
Hospital 775,NY,12483.33,20.99,1.11,71.01
Hospital 776,WA,11759.32,12.98,3.57,85.09
Hospital 777,WI,12913.25,8.01,2.61,80.24
Hospital 778,HI,15505.18,15.53,4.6,76.02
Hospital 779,MA,7015.17,13.7,3.82,67.02
Hospital 780,MT,15045.84,24.2,4.32,76.31
Hospital 781,MO,7000,16.9,2.09,80.61
Hospital 782,MI,12070.51,14.41,4.26,80.99
Hospital 783,NE,17479.77,11.3,4.73,79.61
Hospital 784,WI,13701.64,16.32,2.95,68.77
Hospital 785,IL,12932.65,20.83,2.11,53.97
Hospital 786,NC,17004.86,16.25,2.13,96
Hospital 787,ND,10242.34,11.61,4.49,64.9
Hospital 788,SD,13084.92,17.16,6.22,58.35
Hospital 789,OH,13445.29,14.81,1.82,79.31
Hospital 790,AL,10693.99,16.79,1.73,60.91
Hospital 791,MA,10914.72,13.58,4.11,69.95
Hospital 792,WV,10640.55,13.49,2.1,83.49
Hospital 793,CO,12218.29,13.33,4.22,95.73
Hospital 794,NV,13366.73,18.77,3.56,81.88
Hospital 795,KY,12308.08,13.53,2.97,73.61
Hospital 796,CA,13773.65,13.16,3.53,77.49
Hospital 797,NM,7077.13,11.23,3.46,59.91
Hospital 798,CA,11454.37,16.82,2.78,73.49
Hospital 799,PA,9441.45,16.25,1,73.5
Hospital 800,AZ,12754.31,13.2,3.21,79.53
Hospital 801,MN,12717.29,12.16,4.89,97.42
Hospital 802,OR,11710.94,22.5,1.07,58.63
Hospital 803,OR,13275.7,7.48,1.84,73.92
Hospital 804,GA,14494.53,16.97,3.51,59.66
Hospital 805,GA,11848.7,20.17,3.05,72.97
Hospital 806,ME,9370.76,5,3.49,69.35
Hospital 807,KY,8046.86,18.18,2.16,63.06
Hospital 808,MA,12090.28,14.12,4.39,87.13
Hospital 809,IN,12604.67,16.02,3.06,80.56
Hospital 810,FL,9576.19,13.71,3.84,85.96
Hospital 811,VA,13814.42,19.3,3.38,72.68
Hospital 812,AL,10852.61,16.45,3.21,77.29
Hospital 813,VT,7858.92,15.53,3.75,93.95
Hospital 814,IL,15141.09,11.4,3.22,77.97
Hospital 815,AR,14859.97,22.53,1.57,86.08
Hospital 816,AL,7000,15.04,4.3,71.83
Hospital 817,WI,10593.5,24.16,3.98,85.16
Hospital 818,SC,10496.04,22.71,1,72.51
Hospital 819,NY,16098.72,7.89,2.21,59.04
Hospital 820,ND,11751.77,12.38,4.25,77.92
Hospital 821,NV,8260.3,10.85,1,73.3
Hospital 822,NM,14205.26,14.81,4.13,61.75
Hospital 823,DE,8923.06,15.75,2.83,79.91
Hospital 824,RI,11349.15,15.92,4.61,69.06
Hospital 825,MT,10075.58,19.22,3,100
Hospital 826,ND,10598.86,20.97,2.13,63.36
Hospital 827,AZ,14343.15,18.87,3.37,65.87
Hospital 828,WY,15803.33,12.76,2.96,86.7
Hospital 829,ID,8814.08,11.87,2.03,76.67
Hospital 830,AL,13565.19,15.01,5.66,86.49
Hospital 831,UT,10168.12,16.7,1.83,81.8
Hospital 832,CA,10245.82,14.27,1,72.18
Hospital 833,NJ,13226.59,9.62,4.9,64.21
Hospital 834,NJ,9430.24,17.73,2.3,88.71
Hospital 835,KY,13176.51,13.43,2.64,65.12
Hospital 836,WV,13825.28,13.31,2.57,83.59
Hospital 837,WA,10918.67,14.78,2.32,87.19
Hospital 838,MN,15317.7,14.04,2.08,76.73
Hospital 839,IA,8817.94,13.53,1.8,74.96
Hospital 840,OR,15363.52,9.88,3.08,68.16
Hospital 841,MA,7140.03,14.55,2.52,82.63
Hospital 842,IN,18749.29,17.81,3.88,50
Hospital 843,AK,10984.49,16.06,3.58,85.16
Hospital 844,HI,9094.23,18.79,1.89,79.19
Hospital 845,RI,11418.32,12.09,3.13,75.77
Hospital 846,PA,9383.81,9.89,2.5,80.42
Hospital 847,ND,12967.41,14.02,1.81,64.26
Hospital 848,PA,15419.14,12.54,3.83,53.87
Hospital 849,WY,9516.36,12.96,2.85,82.69
Hospital 850,ND,13448.5,15.85,2.51,91.17
Hospital 851,LA,8168.16,12.99,1.97,60.61
Hospital 852,NJ,14582.39,10,1.77,67.48
Hospital 853,IA,13040.59,12.76,5.39,85.52
Hospital 854,NE,14690.46,16.36,3.4,81.59
Hospital 855,ND,11694.13,17.69,1.69,100
Hospital 856,PA,10912.11,17.65,3.35,88.76
Hospital 857,NC,14040.29,16.7,4.27,86.35
Hospital 858,MS,8729.88,14.33,3.2,70.36
Hospital 859,IA,7642.94,16.62,4.65,83.25
Hospital 860,NJ,11987.6,14.83,1.15,92.95
Hospital 861,TN,11026.01,15.45,1,76.36
Hospital 862,KY,13384.58,11.24,3.31,76.83
Hospital 863,CA,14728.88,15.18,3.33,79.41
Hospital 864,NH,13332.54,16.51,1,71.36
Hospital 865,AR,14529.76,16.36,2.25,80.69
Hospital 866,GA,12802.63,9.85,1.79,80.44
Hospital 867,KY,13236.49,15.39,1.33,92.8
Hospital 868,GA,11708.36,9.22,1.79,76.11
Hospital 869,KY,13162.61,15.69,3.71,84.75
Hospital 870,MD,12416.63,12.19,1.78,76.4
Hospital 871,MS,12812.94,21.82,1.82,84.4
Hospital 872,CA,11583.19,15.48,1.06,75.5
Hospital 873,ND,14022.32,18.2,4.52,83.73
Hospital 874,CO,10223.87,23.44,3.52,85.28
Hospital 875,AK,11954.13,11.73,1,67.33
Hospital 876,IL,15279.46,16.74,1.82,89.02
Hospital 877,TX,9628.2,10.26,3.63,76.34
Hospital 878,TX,7000,16.38,4.54,73.3
Hospital 879,WV,12916.14,22.06,4.01,70.9
Hospital 880,HI,11357.61,12.49,2.57,80.98
Hospital 881,WA,14527.16,11.46,1,77.95
Hospital 882,MN,11673.71,14.64,4.04,81.71
Hospital 883,KS,10489.15,23.18,2.64,81.9
Hospital 884,NM,11810.46,18.08,3.08,84.09
Hospital 885,HI,14732.67,11.38,2.79,100
Hospital 886,KS,13438.42,20.82,1.37,78.4
Hospital 887,DE,7000,8.38,3.44,70.65
Hospital 888,AR,12464.42,23.55,3.27,57.8
Hospital 889,SC,12589.41,18.43,2.49,66.05
Hospital 890,AR,11954.38,22.05,3.57,90.35
Hospital 891,MO,10472.78,8.41,1.35,85.2
Hospital 892,AZ,14986.33,15.68,2.68,64.5
Hospital 893,NY,15110.08,14.46,3.03,100
Hospital 894,AZ,7000,10.97,1,81.27
Hospital 895,NE,10005.1,9.82,2.93,82.6
Hospital 896,NH,11638.17,17.03,3.88,100
Hospital 897,NY,14371.27,17.39,2.64,95.39
Hospital 898,WY,12087.13,20.2,2.96,85.81
Hospital 899,ME,10291.02,12.99,3.67,86.29
Hospital 900,MA,13773.83,14.43,2.53,87.23
Hospital 901,CA,11471.66,9.47,2.64,75.59
Hospital 902,LA,11706.5,21.16,1.59,80.87
Hospital 903,NV,11932.1,15.28,2.98,83.74
Hospital 904,TN,13435.77,17.89,2.6,76.73
Hospital 905,MI,11228.63,18.03,3.6,68.35
Hospital 906,MA,13717.37,20.84,3.68,75.34
Hospital 907,CO,11817.33,11.67,3.95,68.12
Hospital 908,AL,9332.46,17.79,2.39,78.64
Hospital 909,CA,11908.06,14.9,1,60.2
Hospital 910,SD,9461.97,23.42,3.89,81.41
Hospital 911,ID,12102.47,11.66,3.52,61.69
Hospital 912,MT,14073.68,19.69,2.24,73.97
Hospital 913,VA,9315.93,16.4,3.67,83.04
Hospital 914,ND,12910.68,16.19,1.26,85.91
Hospital 915,WI,9927.41,15.22,4.24,84.72
Hospital 916,IN,12504.25,20.39,2.6,81.2
Hospital 917,MT,14150.51,16.06,2.01,66.81
Hospital 918,VT,7000,8.9,2.25,87.81
Hospital 919,NE,9213.81,19.88,2.72,67.04
Hospital 920,FL,11077.55,19.14,2.99,88.95
Hospital 921,MT,12787.6,17.35,3.06,84.28
Hospital 922,WA,11584.04,10.49,2.48,91.59
Hospital 923,MI,11885.3,11.11,3.24,78.25
Hospital 924,WA,17107.46,7.49,3.01,69.81
Hospital 925,NJ,8968.86,16.84,2.22,65.07
Hospital 926,TX,14838.71,9.6,2.04,66.18
Hospital 927,WV,11125.05,8.12,3.73,61.63
Hospital 928,KY,13373.69,20.1,3.63,87.42
Hospital 929,MT,17322.37,18.07,3.07,88.67
Hospital 930,OK,13721.7,13.67,4.11,83.54
Hospital 931,AL,12931.24,14.46,1,77.67
Hospital 932,DE,15997.81,5.37,2.32,98.61
Hospital 933,WI,14812,18.67,1.61,77.02
Hospital 934,OH,10001.51,12.23,5.71,80.21
Hospital 935,IA,12736.31,16.32,3.86,77.52
Hospital 936,WA,7706.26,5.05,2.91,74.62
Hospital 937,MI,10649.62,18.91,3.94,84.31
Hospital 938,IN,12785.13,11.99,4.34,71.67
Hospital 939,MT,10494.74,9.5,4.33,70.99
Hospital 940,NV,12683.42,13.64,4.11,84.81
Hospital 941,MN,11966.54,12.61,2.68,73.02
Hospital 942,IN,13341.04,19.3,2.4,79.33
Hospital 943,MS,10939.5,13.32,1.85,74.59
Hospital 944,AK,9649.63,20.45,3.6,77.88
Hospital 945,VT,15695.32,16.32,2.81,71.27
Hospital 946,MT,10760.76,18.58,2.5,71.59
Hospital 947,IN,13650.03,14.99,2.44,69.8
Hospital 948,CT,15588.12,20.09,4.74,86.43
Hospital 949,AZ,12406.67,10.39,4.14,79.72
Hospital 950,WA,9859.23,15.45,5.2,87.19
Hospital 951,MN,11553.48,13.41,3.63,88.25
Hospital 952,VA,14543.85,20.59,3.07,73.4
Hospital 953,TX,12515.62,21,2.97,86.82
Hospital 954,WA,8987.15,15,1.78,77.86
Hospital 955,VT,13491.61,9.83,1.49,76.41
Hospital 956,LA,13923.83,16.71,3.61,90.52
Hospital 957,PA,11111.72,8.34,1.88,83.54
Hospital 958,OH,13525.61,21.5,3.25,74.48
Hospital 959,IA,12612.55,13.11,4.34,82.89
Hospital 960,MO,11506.43,14.88,2.2,65.34
Hospital 961,OR,8766.16,12.28,5.41,80.47
Hospital 962,NV,14694.88,11.39,1.81,63
Hospital 963,GA,13898.03,17.95,4.19,68.16
Hospital 964,RI,13459.72,14.37,3.51,83.85
Hospital 965,KY,15861.32,15.17,4.43,51.3
Hospital 966,RI,14362.98,10.98,1.66,96.03
Hospital 967,MI,13716.42,18.42,5.77,86.34
Hospital 968,MT,7000,18.83,2.79,59.61
Hospital 969,UT,14992.24,14.16,3.81,100
Hospital 970,MO,12207.7,20.07,4.73,100
Hospital 971,KY,12781.23,14.58,2.27,76.2
Hospital 972,IL,12798.33,18.12,3.99,68.74
Hospital 973,MD,13934.58,8.51,2.07,94.86
Hospital 974,MO,14805.44,16.41,4.68,74.56
Hospital 975,AR,13585.6,13.91,2.09,79.61
Hospital 976,GA,13188.21,15.62,3.05,90.17
Hospital 977,AZ,12578.78,15.44,3.37,76.46
Hospital 978,SD,7000,15.5,3.94,75.59
Hospital 979,VT,11281.02,17.46,5.36,65.28
Hospital 980,LA,9646.03,12.74,2.46,71.69
Hospital 981,WA,15026.85,17.28,4.37,75.39
Hospital 982,OK,13547.59,19.93,5.36,65.61
Hospital 983,WA,10854.66,9.36,3.2,66.52
Hospital 984,MI,11105.71,11.88,2.34,78.34
Hospital 985,ND,11015.05,12.05,1,59.5
Hospital 986,WA,10970.43,10.63,5.26,69.21
Hospital 987,DE,8388.61,13.1,2.71,97.45
Hospital 988,SC,7846.8,19.13,1.8,74.55
Hospital 989,WI,12072.62,20.79,1.37,73.29
Hospital 990,UT,14688.29,15.42,1.8,74.5
Hospital 991,ME,10655.78,13.7,4.1,74.66
Hospital 992,TN,12758.61,18.21,4.27,83.75
Hospital 993,SD,13835.65,5.54,3.78,83.05
Hospital 994,OR,9516.55,10.78,3.16,74.09
Hospital 995,CO,11950.06,5.71,1.51,75.86
Hospital 996,MT,10333.7,10.74,2.12,91.13
Hospital 997,ND,16015.3,11.93,1.67,62.9
Hospital 998,VT,15906.15,20.91,3.69,77.42
Hospital 999,CO,9519.14,5,1.72,79.35
Hospital 1000,OR,12964.71,13.33,2.14,70.23
